rvtr,artist,identitySource,canonicalTitle,normalizedTitleKey,graphTitle,graphTrackId,hasPrimaryVersion,repairSkipReason,skipGroup,skipGroupDetail,peakHot100
RVTR294286,drama,hot100,Le Feat Right Le Feat,"left, right, left","Left, Right, Left",2578,true,normalized_key_mismatch,other,Clean graph title fails normalized_title_key validation,73
RVTR414886,morgan wallen,hot100,Nothin' Le Feat,nothin  left,Nothin' Left,25540,true,normalized_key_mismatch,other,Clean graph title fails normalized_title_key validation,73
RVTR510328,teresa brewer,hot100,The One Rose That'S Le Feat In My Heart,the one rose  that s left in my heart,The One Rose (That's Left In My Heart),31287,true,normalized_key_mismatch,other,Clean graph title fails normalized_title_key validation,75
RVTR020509,liam payne,hot100,For You Fi Feat Y Shades Freed,for you  fifty shades freed,For You (Fifty Shades Freed),16433,true,normalized_key_mismatch,other,Clean graph title fails normalized_title_key validation,76
RVTR235056,nina simone,hot100,To Be Young Gi Feat Ed And Black,"to be young, gifted and black","To Be Young, Gifted And Black",7906,true,normalized_key_mismatch,other,Clean graph title fails normalized_title_key validation,76
RVTR326234,wade hayes,hot100,The Day That She Le Feat Tulsa In A Chevy,the day that she left tulsa  in a chevy,The Day That She Left Tulsa (In A Chevy),8079,true,normalized_key_mismatch,other,Clean graph title fails normalized_title_key validation,86
RVTR103886,taylor swift,hot100,Fi Feat Een Taylor'S Version,fifteen  taylor s version,Fifteen (Taylor's Version),7491,true,normalized_key_mismatch,other,Clean graph title fails normalized_title_key validation,88
RVTR292314,joe tex,hot100,Don'T Let Your Le Feat Hand Know,don t let your left hand know,Don't Let Your Left Hand Know,6108,true,normalized_key_mismatch,other,Clean graph title fails normalized_title_key validation,95
RVTR915490,bobby bland,hot100,Dri Feat In' Blues,driftin  blues,Driftin' Blues,27756,true,normalized_key_mismatch,other,Clean graph title fails normalized_title_key validation,96
RVTR175153,100 proof aged in soul,hot100,One Man'S Le Feat Overs Is Another Man'S Feast,one man s leftovers  is another man s feast,One Man's Leftovers (Is Another Man's Feast),14170,true,normalized_key_mismatch,other,Clean graph title fails normalized_title_key validation,96
RVTR300674,tinashe,vdj,2 On Feat Schoolboy Q,2 on feat schoolboy q,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR527010,2012 (feat. Nicki Minaj),vdj,2012 It Ain'T The End Feat Nicki Minaj,2012 it ain't the end feat nicki minaj,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR666546,meek mill,vdj,24 7 Feat Ella Mai,24 7 feat ella mai,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
