cluster,artist,title,method,notes
"Cluster C","Buffallo Springfield","For What It's Worth (Extended)","B",""
"Cluster D","The Association","Never My Love","B",""
"Cluster D","Bee Gees","To Love Somebody","B",""
"Cluster B","Neil Diamond","You Got To Me (American Bandstand)","B",""
"Cluster C","Monkees","I'm A Believer","B",""
"Cluster D","Van Morrison","Brown Eyed Girl","B",""
"Cluster D","Box Tops","The Letter","B",""
"Cluster A","Bobbie Gentry","Niki Hoeky","B",""
"Cluster A","Brenton Wood","The Oogum Boogum Song","B",""
"Cluster B","Frank And Nancy Sinatra","Something Stupid","B",""
"Cluster B","Frankie Valli","Can't Take My Eyes Off You","B",""
"Cluster A","Grass Roots","Let's Live For Today","B",""
"Cluster C","Jefferson Airplane","White Rabbit","B",""
"Cluster C","Jimi Hendrix","The Wind Cries Mary","B",""
"Cluster A","Johnny Rivers","Baby, I Need Your Lovin'","B",""
"Cluster C","Kenny Rogers & The First Edition","Just Dropped In","B",""
"Cluster B","Lulu","Loves Loves To Love Love","B",""
"Cluster A","Moody Blues","Nights in White Satin","B",""
"Cluster A","Tommy Boyce & Bobby Hart","I Wonder What She's Doing Tonight","B",""
"Cluster D","The Turtles","Happy Together","B",""
"Cluster D","The Troggs","Love Is All Around","B",""
"Cluster A","The Tremeloes","Here Comes My Baby  (BW)","B",""
"Cluster E","The Rolling Stones","Ruby Tuesday","B",""
"Cluster E","The Mamas and The Papas","Creque Alley","B",""
"Cluster A","The Hombres","Let It All Hang Out","B",""
"Cluster C","The First Edition","Just Dropped In (To See What Condition My Condition Was In)","B",""
"Cluster E","The Cowsills","The Rain, The Park & Other Things","B",""
"Cluster E","The Beatles","Hello, Goodbye","B",""
"Cluster C","The Animals","San Franciscan Nights","B",""
"Cluster A","Tammy Wynette","Your Good Girls Gonna Go Bad","B",""
"Cluster C","Scott McKenzie","San Francisco","B",""
"Cluster D","Question Mark & The Mysterians","96 Tears","B",""
"Cluster D","Procol Harum","A Whiter Shade Of Pale","B",""
"Cluster C","Pink Floyd","See Emily Play","B",""
"Cluster B","Osborne Brothers","Rocky Top (1967)","B",""
"Cluster D","Otis Redding","I've Been Loving You Too Long","B",""
"Cluster B","Lulu","To Sir With Love  (Color)","B",""
"Cluster B","Leonard Cohen","So Long, Marianne","B",""
"Cluster B","Engelbert Humperdinck","Release Me","B",""
"Cluster B","Al Martino","Spanish Eyes","B",""
