cluster,artist,title,method,notes
"Cluster A","Buffallo Springfield","For What It's Worth (Extended)","C",""
"Cluster D","The Association","Never My Love","C",""
"Cluster E","Bee Gees","To Love Somebody","C",""
"Cluster B","Neil Diamond","You Got To Me (American Bandstand)","C","seed"
"Cluster D","Monkees","I'm A Believer","C",""
"Cluster A","Van Morrison","Brown Eyed Girl","C",""
"Cluster A","Box Tops","The Letter","C",""
"Cluster A","Bobbie Gentry","Niki Hoeky","C","seed"
"Cluster A","Brenton Wood","The Oogum Boogum Song","C",""
"Cluster B","Frank And Nancy Sinatra","Something Stupid","C",""
"Cluster B","Frankie Valli","Can't Take My Eyes Off You","C",""
"Cluster A","Grass Roots","Let's Live For Today","C",""
"Cluster C","Jefferson Airplane","White Rabbit","C",""
"Cluster C","Jimi Hendrix","The Wind Cries Mary","C","seed"
"Cluster A","Johnny Rivers","Baby, I Need Your Lovin'","C",""
"Cluster C","Kenny Rogers & The First Edition","Just Dropped In","C",""
"Cluster B","Lulu","Loves Loves To Love Love","C",""
"Cluster A","Moody Blues","Nights in White Satin","C",""
"Cluster A","Tommy Boyce & Bobby Hart","I Wonder What She's Doing Tonight","C",""
"Cluster D","The Turtles","Happy Together","C",""
"Cluster A","The Troggs","Love Is All Around","C",""
"Cluster A","The Tremeloes","Here Comes My Baby  (BW)","C",""
"Cluster E","The Rolling Stones","Ruby Tuesday","C",""
"Cluster D","The Mamas and The Papas","Creque Alley","C","seed"
"Cluster A","The Hombres","Let It All Hang Out","C",""
"Cluster C","The First Edition","Just Dropped In (To See What Condition My Condition Was In)","C",""
"Cluster D","The Cowsills","The Rain, The Park & Other Things","C",""
"Cluster E","The Beatles","Hello, Goodbye","C","seed"
"Cluster E","The Animals","San Franciscan Nights","C",""
"Cluster A","Tammy Wynette","Your Good Girls Gonna Go Bad","C",""
"Cluster C","Scott McKenzie","San Francisco","C",""
"Cluster A","Question Mark & The Mysterians","96 Tears","C",""
"Cluster A","Procol Harum","A Whiter Shade Of Pale","C",""
"Cluster C","Pink Floyd","See Emily Play","C",""
"Cluster A","Osborne Brothers","Rocky Top (1967)","C",""
"Cluster A","Otis Redding","I've Been Loving You Too Long","C",""
"Cluster B","Lulu","To Sir With Love  (Color)","C",""
"Cluster A","Leonard Cohen","So Long, Marianne","C",""
"Cluster B","Engelbert Humperdinck","Release Me","C",""
"Cluster A","Al Martino","Spanish Eyes","C",""
