cluster,artist,title,method,notes
"Cluster A","Buffallo Springfield","For What It's Worth (Extended)","A",""
"Cluster D","The Association","Never My Love","A",""
"Cluster E","Bee Gees","To Love Somebody","A",""
"Cluster B","Neil Diamond","You Got To Me (American Bandstand)","A",""
"Cluster D","Monkees","I'm A Believer","A",""
"Cluster A","Van Morrison","Brown Eyed Girl","A",""
"Cluster A","Box Tops","The Letter","A",""
"Cluster A","Bobbie Gentry","Niki Hoeky","A",""
"Cluster A","Brenton Wood","The Oogum Boogum Song","A",""
"Cluster B","Frank And Nancy Sinatra","Something Stupid","A",""
"Cluster B","Frankie Valli","Can't Take My Eyes Off You","A",""
"Cluster A","Grass Roots","Let's Live For Today","A",""
"Cluster C","Jefferson Airplane","White Rabbit","A",""
"Cluster C","Jimi Hendrix","The Wind Cries Mary","A",""
"Cluster A","Johnny Rivers","Baby, I Need Your Lovin'","A",""
"Cluster C","Kenny Rogers & The First Edition","Just Dropped In","A",""
"Cluster B","Lulu","Loves Loves To Love Love","A",""
"Cluster A","Moody Blues","Nights in White Satin","A",""
"Cluster A","Tommy Boyce & Bobby Hart","I Wonder What She's Doing Tonight","A",""
"Cluster D","The Turtles","Happy Together","A",""
"Cluster A","The Troggs","Love Is All Around","A",""
"Cluster A","The Tremeloes","Here Comes My Baby  (BW)","A",""
"Cluster E","The Rolling Stones","Ruby Tuesday","A",""
"Cluster D","The Mamas and The Papas","Creque Alley","A",""
"Cluster A","The Hombres","Let It All Hang Out","A",""
"Cluster C","The First Edition","Just Dropped In (To See What Condition My Condition Was In)","A",""
"Cluster D","The Cowsills","The Rain, The Park & Other Things","A",""
"Cluster E","The Beatles","Hello, Goodbye","A",""
"Cluster E","The Animals","San Franciscan Nights","A",""
"Cluster A","Tammy Wynette","Your Good Girls Gonna Go Bad","A",""
"Cluster C","Scott McKenzie","San Francisco","A",""
"Cluster A","Question Mark & The Mysterians","96 Tears","A",""
"Cluster A","Procol Harum","A Whiter Shade Of Pale","A",""
"Cluster C","Pink Floyd","See Emily Play","A",""
"Cluster A","Osborne Brothers","Rocky Top (1967)","A",""
"Cluster A","Otis Redding","I've Been Loving You Too Long","A",""
"Cluster B","Lulu","To Sir With Love  (Color)","A",""
"Cluster A","Leonard Cohen","So Long, Marianne","A",""
"Cluster B","Engelbert Humperdinck","Release Me","A",""
"Cluster A","Al Martino","Spanish Eyes","A",""
