cluster,artist,title,method,notes
"Cluster A","Randy Houser","Runnin' Outta Moonlight","A",""
"Cluster C","Willie Nelson","Mammas Don't Let Your Babies Grow Up To Be Cowboys","A",""
"Cluster A","Warren Zevon","Werewolves Of London","A",""
"Cluster B","Walter Egan","Magnet and Steel","A",""
"Cluster B","Andrew Gold","Thank You For Being A Friend","A",""
"Cluster F","ABBA","Take A Chance On Me","A",""
"Cluster F","10cc","Dreadlock Holiday","A",""
"Cluster A","Cheap Trick","Surrender","A",""
"Cluster D","Boney M.","Rivers of Babylon","A",""
"Cluster B","Billy Joel","Only The Good Die Young","A",""
"Cluster B","Barry Manilow","Copacabana","A",""
"Cluster D","Bee Gees","Tragedy","A",""
"Cluster E","Blondie","Heart Of Glass","A",""
"Cluster B","Bob Seger","Still The Same","A",""
"Cluster B","Burton Cummings","Break It To Them Gently","A",""
"Cluster B","Eddie Money","Baby Hold On","A",""
"Cluster E","DEVO","(I Can't Get No) Satisfaction","A",""
"Cluster D","Chic","Le Freak","A",""
"Cluster D","Earth, Wind & Fire","September","A",""
"Cluster A","Dire Straits","Sultans Of Swing","A",""
"Cluster F","Frankie Valli","Grease","A",""
"Cluster C","Exile","Kiss You All Over","A",""
"Cluster A","Electric Light Orchestra","Sweet Talkin' Woman","A",""
"Cluster B","Gerry Rafferty","Baker Street","A",""
"Cluster C","Kenny Rogers","The Gambler","A",""
"Cluster A","Joe Walsh","Life's Been Good","A",""
"Cluster A","Kiss","Rock And Roll All Night (Live)","A",""
"Cluster A","Steve Martin","King Tut (SNL)","A",""
"Cluster F","Linda Ronstadt","Just One Look","A",""
"Cluster C","Little River Band","Lady 1978","A",""
"Cluster B","Meat Loaf","Two Out Of Three Ain t Bad","A",""
"Cluster B","Nicolette Larson","Lotta Love","A",""
"Cluster E","Nick Gilder","Hot Child In The City","A",""
"Cluster C","Olivia Newton John","You Are The One That I Want","A",""
"Cluster A","Queen","Bicycle Race (NSFW)","A",""
"Cluster E","Ramones","I Wanna Be Sedated","A",""
"Cluster B","REO Speedwagon","Time For Me To Fly","A",""
"Cluster A","Rolling Stones","Miss You","A",""
"Cluster D","Sha Na Na","Born To Hand Jive","A",""
"Cluster C","Suzi Quatro","Stumblin' in","A",""
"Cluster A","Styx","Fooling Yourself","A",""
"Cluster D","Village People","YMCA","A",""
"Cluster A","Van Halen","Runnin' With The Devil","A",""
"Cluster E","Talking Heads","Take Me To The River","A",""
"Cluster A","Trooper","Raise A Little Hell","A",""
"Cluster G","The Beatles","A Day In The Life","A",""
"Cluster A","Three Dog Night","Shambala","A",""
"Cluster G","The Who","Baba O'riley","A",""
"Cluster E","The Cars","Just What I Needed","A",""
