rvtr,title,artist,artists,albums,release_year,chart_rows,representative_week,duplicate_identity_count,status,priority,issues
"RVTR118993","Sing","glee cast","","","","1","2011-03-05","2","DUPLICATE","100","missing_or_multiple_artist;missing_album;missing_release_year;duplicate_billboard_identity"
"RVTR118994","Sing","glee cast","","","","1","2010-10-30","2","DUPLICATE","100","missing_or_multiple_artist;missing_album;missing_release_year;duplicate_billboard_identity"
"RVTR279444","December 1963 Oh What A Night","The 4 Seasons","","","","27","1994-08-13","2","DUPLICATE","100","missing_or_multiple_artist;missing_album;missing_release_year;duplicate_billboard_identity"
"RVTR279445","December 1963 Oh What A Night","The 4 Seasons","","","","27","1975-12-27","2","DUPLICATE","100","missing_or_multiple_artist;missing_album;missing_release_year;duplicate_billboard_identity"
"RVTR739667","One Tin Soldier The Legend Of Billy Jack","coven","","","","6","1973-07-21","2","DUPLICATE","100","missing_or_multiple_artist;missing_album;missing_release_year;duplicate_billboard_identity"
"RVTR739668","One Tin Soldier The Legend Of Billy Jack","coven","","","","18","1971-09-18","2","DUPLICATE","100","missing_or_multiple_artist;missing_album;missing_release_year;duplicate_billboard_identity"
