bucket,artist,title,filePath,rvtr,matchedTitle,matchedArtist,score,artistScore,titleScore,tier,assigned,assignError
needs-review,Bad Company,Burnin’ Sky,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Bad Company - Burnin’ Sky.mp4,RVTR039830,Burnin' Sky,bad company,61,100,33,C,no,
needs-review,Blink 182,I Miss You,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Blink-182 - I Miss You.mp4,RVTR179694,I Miss You,klymaxx,55,0,100,B,no,
needs-review,Rag n Bone Man,Human,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Rag n Bone Man - Human.mp4,RVTR503290,Human,The Human League,55,0,100,B,no,
needs-review,Dr Alban,It's My Life,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Dr Alban - It's My Life.mp4,RVTR076505,It'S My Life,no doubt,55,0,100,B,no,
needs-review,Neil Young,Helpless,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Neil Young - Helpless.mp4,RVTR803728,Helpless,kim weston,55,0,100,B,no,
needs-review,Status Quo,Caroline,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Status Quo - Caroline.mp4,RVTR971207,Caroline,amine,55,0,100,B,no,
needs-review,Nik Kershaw,Wide Boy,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Nik Kershaw - Wide Boy.mp4,RVTR867346,Dirty Style Wideboys Dance Club Edit,Dacav5,47,0,86,B,no,
needs-review,Mick Jagger,Miss You,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Mick Jagger - Miss You.mp4,RVTR336876,Miss You,The Rolling Stones,55,0,100,B,no,
needs-review,Bon Jovi,It s My Life,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Bon Jovi - It s My Life.mp4,RVTR313344,Its My Life,no doubt,55,0,100,B,no,
needs-review,Hall & Oates,Maneater,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Hall & Oates - Maneater.mp4,RVTR637113,Maneater,Daryl Hall & John Oates,79,50,100,B,no,
needs-review,The Jackson 5,Who’s Lovin’ You,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Jackson 5 - Who’s Lovin’ You.mp4,RVTR804892,Who'S Lovin' You,The Jackson 5,54,100,20,C,no,
needs-review,Toto,I ll Be Over You,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Toto - I ll Be Over You.mp4,RVTR597526,Kiss You All Over,exile,28,0,50,C,no,
needs-review,J Geils Band,Come Back,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/J Geils Band - Come Back.mp4,RVTR030562,Baby Come Back,player,52,0,94,B,no,
needs-review,Loudness,Gotta Fight,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Loudness - Gotta Fight.mp4,RVTR151405,You Gotta Fight For Your Right To Party,beastie boys,48,0,88,B,no,
needs-review,Weird Al Yankovic,Fat,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Weird Al Yankovic - Fat.mp4,RVTR885216,Father Figure,george michael,48,0,87,B,no,
needs-review,Patti LaBelle,Imagine,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Patti LaBelle - Imagine.mp4,RVTR985539,Imagine,john lennon/plastic ono band,55,0,100,B,no,
needs-review,Udo Lindenberg,Speech,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Udo Lindenberg - Speech.mp4,RVTR320562,Speechless,dan + shay,51,0,93,B,no,
needs-review,Lil Kim,How Many Licks,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Lil Kim - How Many Licks.mp4,RVTR755416,How Many Licks,lil' kim,55,33,100,B,no,
needs-review,Billy Connolly,Speech,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Billy Connolly - Speech.mp4,RVTR320562,Speechless,dan + shay,51,0,93,B,no,
needs-review,The Who,I Can t Explain,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Who - I Can t Explain.mp4,RVTR020550,I Can'T Explain,The Who,61,100,33,C,no,
needs-review,Notorious B.I.G.,Juicy,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Notorious B.I.G. - Juicy.mp4,RVTR378201,Juicy Unbelievable,The Notorious B.i.g,91,96,87,B,no,
needs-review,Guns N  Roses,Don t Cry,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Guns N  Roses - Don t Cry.mp4,RVTR823309,Boys Don T Cry Mtv Unplugged,The Cure,48,0,87,B,no,
needs-review,Joan Baez,Amazing Grace,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Joan Baez - Amazing Grace.mp4,RVTR612182,Amazing Grace,The Pipes And Drums And The Military Band Of The Royal Scots Dragoon Guards,55,0,100,B,no,
needs-review,Powerstation,Get It On,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Powerstation - Get It On.mp4,RVTR839957,Get It On Bang A Gong,The Power Station,93,96,90,B,no,
needs-review,The O Jays,Forever Mine,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/The O Jays - Forever Mine.mp4,RVTR094717,Forever Mine,The O'jays,55,33,100,B,no,
needs-review,Eric Clapton,White Room,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Eric Clapton - White Room.mp4,RVTR640989,White Room,cream,55,0,100,B,no,
needs-review,Nik Kershaw,Don Quixote,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Nik Kershaw - Don Quixote.mp4,RVTR449342,Don Quixote De La Mancha,The Famous Adventures of Mr. Magoo,50,0,91,B,no,
needs-review,Sting,Money For Nothing,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Sting - Money For Nothing.mp4,RVTR990727,Money For Nothing,dire straits,55,0,100,B,no,
needs-review,Bryan Ferry,Jealous Guy,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Bryan Ferry - Jealous Guy.mp4,RVTR781076,Jealous Guy,john lennon,55,0,100,B,no,
needs-review,Fleetwood Mac,Don t Stop,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Fleetwood Mac - Don t Stop.mp4,RVTR155161,Don'T Stop,fleetwood mac,61,100,33,C,no,
needs-review,Sinead O Connor,Mandinka,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Sinead O Connor - Mandinka.mp4,RVTR612461,Mandinka,sinead o'connor,55,33,100,B,no,
needs-review,Bruno Mars,That’s What I Like,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Bruno Mars - That’s What I Like.mp4,RVTR204778,That'S What I Like,bruno mars,71,100,50,C,no,
needs-review,Y And T,Summertime Girls,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Y And T - Summertime Girls.mp4,RVTR290879,Summertime Girls,Y&t,55,0,100,B,no,
needs-review,Dolly Parton,Dumb Blonde,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Dolly Parton - Dumb Blonde.mp4,RVTR504783,Another Dumb Blonde,hoku,51,0,93,B,no,
needs-review,Bruno Mars,That’s What I Like,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Bruno Mars - That’s What I Like .mp4,RVTR204778,That'S What I Like,bruno mars,71,100,50,C,no,
needs-review,Rod Stewart,Ain’t Love A Bitch,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Rod Stewart - Ain’t Love A Bitch.mp4,RVTR592712,Ain'T Love A Bitch,rod stewart,71,100,50,C,no,
needs-review,Alice Cooper,School s Out,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Alice Cooper - School s Out.mp4,RVTR231734,School'S Out,alice cooper,61,100,33,C,no,
needs-review,Greta Van Fleet,You’re The One,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Greta Van Fleet - You’re The One.mp4,RVTR646417,You'Re The One That I Want,john travolta,18,0,33,C,no,
needs-review,Bone Thugs N Harmony,Home,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Bone Thugs N Harmony - Home.mp4,RVTR791352,Daddy'S Home,shep and the limelites,49,0,89,B,no,
needs-review,Howard Jones,Hide And Seek,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Howard Jones - Hide And Seek.mp4,RVTR249270,Hide And Seek,pajama party,55,0,100,B,no,
needs-review,Oran  Juice  Jones,The Rain,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Oran  Juice  Jones - The Rain.mp4,RVTR732192,Set Fire To The Rain,adele,50,0,90,B,no,
needs-review,David Guetta,Baby Don’t Hurt Me,/Users/bobhopp/DJ MEDIA/VIDEO/2020's/David Guetta - Baby Don’t Hurt Me.mp4,RVTR574653,Baby Don'T Hurt Me,david guetta,71,100,50,C,no,
needs-review,Status Quo,Don’t Waste My Time,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Status Quo - Don’t Waste My Time.mp4,RVTR742902,Don'T Waste My Time,john mayall,28,0,50,C,no,
needs-review,Paul McCartney,Maybe I’m Amazed,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Paul McCartney - Maybe I’m Amazed.mp4,RVTR649753,Maybe I'M Amazed,paul mccartney,71,100,50,C,no,
needs-review,The Bee Gees,Massachusetts,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Bee Gees - Massachusetts.mp4,RVTR149316,The Lights Went Out In Massachusetts,bee gees,92,95,90,B,no,
needs-review,Eikichi Yazawa,Take It Time,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Eikichi Yazawa - Take It Time.mp4,RVTR802869,Take Time To Know Her,percy sledge,28,0,50,C,no,
needs-review,The Spotnicks,The Rocket Man,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Spotnicks - The Rocket Man.mp4,RVTR601662,Rocket Man,elton john,53,0,96,B,no,
needs-review,Norwegian Band Aid,All Of Us,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Norwegian Band Aid - All Of Us.mp4,RVTR879014,All Of Me,john legend,55,0,100,C,no,
needs-review,All American Rejects,I Wanna,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/All American Rejects - I Wanna.mp4,RVTR525657,All I Wanna Do,sheryl crow,51,0,92,B,no,
