fileArtist,fileTitle,filePath,currentRvtr,currentIdentitySource,currentGraphTitle,canonicalRvtr,canonicalIdentitySource,canonicalTitle,canonicalPeak,matchTier,combinedScore,conflictKind,reassignRecommended
Bobby Darin,Beyond the Sea (Finding Nemo),,RVTR267896,vdj,Beyond The Sea Finding Nemo,RVTR645514,hot100,Beyond The Sea,6,A,0,graph_or_exact,yes
Bon Jovi,This Ain t A Love Song,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Bon Jovi - This Ain t A Love Song.mp4,RVTR569953,vdj,This Aint A Love Song,RVTR636324,hot100_vdj,This Ain'T A Love Song,14,A,100,graph_metadata,yes
Britney Spears,Hold It Against Me (Promo Only No Break Edit*),,RVTR060043,vdj,Hold It Against Me Promo Only No Break Edit,RVTR946203,hot100_vdj,Hold It Against Me,1,A,0,graph_or_exact,yes
Cali Swag District,Teach Me How To Dougie {Official Video},,RVTR184775,vdj,Teach Me How To Dougie Official Video,RVTR841223,hot100_vdj,Teach Me How To Dougie,28,A,0,graph_or_exact,yes
Canned Heat,Let's Work Together (TOTP),,RVTR486044,vdj,Let'S Work Together Totp,RVTR687990,hot100,Let'S Work Together,26,A,0,graph_or_exact,yes
Celine Dion,Where Does My Heart Beat Now  (1990),,RVTR823174,vdj,Where Does My Heart Beat Now 1990,RVTR641127,hot100,Where Does My Heart Beat Now,4,A,0,graph_or_exact,yes
Chambers Brothers,Time Has Come Today (Live extended version),,RVTR491222,vdj,Time Has Come Today Live Extended Version,RVTR514782,hot100,Time Has Come Today,11,A,0,graph_or_exact,yes
Cheap Trick,I Want You to Want Me (from Budokan!),,RVTR365980,vdj,I Want You To Want Me From Budokan,RVTR982911,hot100_vdj,I Want You To Want Me,7,A,0,graph_or_exact,yes
Chris Isaak,Wicked Game (Live),,RVTR422798,vdj,Wicked Game Live,RVTR433913,hot100_vdj,Wicked Game,6,A,0,graph_or_exact,yes
Chris Lane,"Big, Big Plans (Video For Lauren)",,RVTR775135,vdj,Big Big Plans Video For Lauren,RVTR194264,hot100,Big Big Plans,42,B,0,graph_or_exact,yes
Christopher Cross,Arthur s Theme (Best That You Can Do),/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Christopher Cross - Arthur s Theme (Best That You Can Do).mp4,RVTR725911,vdj,Arthur S Theme Best That You Can Do,RVTR402593,hot100,Arthur'S Theme Best That You Can Do,1,A,100,graph_metadata,yes
Chubby Checker,Let's Twist Again (Dancing),,RVTR280964,vdj,Let'S Twist Again Dancing,RVTR250867,hot100,Let'S Twist Again,8,A,0,graph_or_exact,yes
Chuck Berry,My Ding A Ling (Live),,RVTR434907,vdj,My Ding A Ling Live,RVTR923020,hot100,My Ding A Ling,1,A,0,graph_or_exact,yes
Clarence Carter,Slip Away (Soul Train),,RVTR312921,vdj,Slip Away Soul Train,RVTR873580,hot100_vdj,Slip Away,6,A,0,graph_or_exact,yes
Climie Fisher,Love Changes Everything (Extended Version),,RVTR137934,vdj,Love Changes Everything Extended Version,RVTR624801,hot100,Love Changes Everything,23,A,0,graph_or_exact,yes
Cole Swindell,Chillin' It (Official Video),,RVTR311136,vdj,Chillin' It Official Video,RVTR863109,hot100,Chillin' It,28,A,0,graph_or_exact,yes
Commodores,Brick House (Midnight Special),,RVTR223769,vdj,Brick House Midnight Special,RVTR734759,hot100_vdj,Brick House,5,A,0,graph_or_exact,yes
Corey Hart,Sunglasses At Night (Countdown 1984),,RVTR979663,vdj,Sunglasses At Night Countdown 1984,RVTR863761,hot100_vdj,Sunglasses At Night,7,A,0,graph_or_exact,yes
