trustScore,bucket,fileArtist,fileTitle,rvtr,graphArtist,graphTitle,identitySource,artistScore,titleScore,baseTitleScore,combinedScore,flags,filePath
82,medium,Commitments,Mustang Sally,RVTR502660,The Commitments,Mustang Sally,vdj,96,100,100,98,,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Commitments - Mustang Sally.mp4
82,medium,Cranberries,Zombie,RVTR838170,The Cranberries,Zombie,vdj,96,100,100,98,,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Cranberries - Zombie.mp4
82,medium,Offspring,Come Out And Play,RVTR186096,The Offspring,Come Out And Play,vdj,96,100,100,98,,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Offspring - Come Out And Play.mp4
82,medium,Offspring,Pretty Fly,RVTR208944,The Offspring,Pretty Fly,vdj,96,100,100,98,,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Offspring - Pretty Fly.mp4
82,medium,Paul McCartney & Wings,Listen To What The Man Said,RVTR229574,paul mccartney,Listen To What The Man Said,vdj,95,100,100,98,,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Paul McCartney & Wings - Listen To What The Man Said.mp4
82,medium,Rembrandts,I'll Be There For You,RVTR677225,The Rembrandts,I'Ll Be There For You,vdj,96,100,100,98,,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Rembrandts - I'll Be There For You.mp4
82,medium,The Darkness,I Believe In A Thing Called Love,RVTR213445,Darkness,I Believe In A Thing Called Love,vdj,95,100,100,98,,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/The Darkness - I Believe In A Thing Called Love.mp4
83,medium,Nancy Sinatra,These Boots Are Made For Walking,RVTR251858,nancy sinatra,These Boots Are Made For Walkin',hot100,100,71,71,83,,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Nancy Sinatra - These Boots Are Made For Walking.mp4
83,low,"Red Jumpsuit Apparatus, The",Face Down,RVTR999415,The Red Jumpsuit Apparatus,Face Down,hot100_vdj,60,100,100,83,,"/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Red Jumpsuit Apparatus, The - Face Down.mp4"
83,medium,Rolling Stones,Can't You Hear Me Knocking,RVTR456479,The Rolling Stones,Can'T You Hear Me Knocking,vdj,97,100,100,99,,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Rolling Stones - Can't You Hear Me Knocking.MP4
83,medium,Pink Floyd,Another Brick in the Wall Pt. 2,RVTR475592,pink floyd,Another Brick In The Wall,vdj,100,98,98,99,,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Pink Floyd - Another Brick in the Wall Pt. 2.mp4
83,medium,The Blues Brothers,Sweet Home Chicago,RVTR525123,blues brothers,Sweet Home Chicago,vdj,97,100,100,99,,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/The Blues Brothers - Sweet Home Chicago.mp4
83,medium,The Folk Implosion,Natural One,RVTR406001,folk implosion,Natural One,vdj,97,100,100,99,,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/The Folk Implosion - Natural One.mp4
83,medium,The Chemical Brothers,Block Rockin' Beats,RVTR962154,chemical brothers,Block Rockin' Beats,vdj,97,100,100,99,,/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/The Chemical Brothers - Block Rockin' Beats.mp4
84,medium,Andrews Sisters,Boogie Woogie Bugle Boy,RVTR933068,Andrews Sisters,Boogie Woogie Bugle Boy,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Andrews Sisters - Boogie Woogie Bugle Boy.mp4
