focus_rvtr,focus_title,focus_peak_position,focus_total_chart_weeks,focus_first_chart_date,focus_last_chart_date,neighbor_rvtr,neighbor_title,neighbor_artist,neighbor_peak_position,neighbor_total_chart_weeks,neighbor_first_chart_date,neighbor_last_chart_date,weeks_overlapping,avg_proximity,overlap_pct_of_neighbor,overlap_pct_of_focus,overlap_first_date,overlap_last_date,overlap_span_weeks,fate_label,playlist_score,relationship_summary
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR809922,"Oh, Sherrie",steve perry,3,20,1984-04-07,1984-08-18,1,1.000,5.0,4.3,1984-06-23,1984-06-23,1,passing_neighbor,0.00,brief adjacency; usually adjacent; charted before focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR077806,Pillowtalk,zayn,1,24,2016-02-20,2016-07-30,1,1.000,4.2,4.3,2016-05-14,2016-05-14,1,passing_neighbor,0.00,brief adjacency; usually adjacent; charted after focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR074426,Self Control,laura branigan,4,25,1984-04-14,1984-09-29,1,1.000,4.0,4.3,1984-06-30,1984-06-30,1,passing_neighbor,0.00,brief adjacency; usually adjacent; charted before focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR975901,She Bop,cyndi lauper,3,18,1984-07-21,1984-11-17,1,1.000,5.6,4.3,1984-09-01,1984-09-01,1,passing_neighbor,0.00,brief adjacency; usually adjacent
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR877489,Sorry,justin bieber,1,42,2015-11-14,2016-08-27,1,1.000,2.4,4.3,2016-05-07,2016-05-07,1,passing_neighbor,0.00,brief adjacency; usually adjacent; charted after focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR463902,Teacher Teacher,38 special,25,12,1984-09-29,1984-12-15,1,1.000,8.3,4.3,1984-10-06,1984-10-06,1,passing_neighbor,0.00,brief adjacency; usually adjacent
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR363337,Tonight,kool,13,18,1984-02-25,1984-06-23,1,1.000,5.6,4.3,1984-06-02,1984-06-02,1,passing_neighbor,0.00,brief adjacency; usually adjacent; charted before focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR464459,Whisper To A Scream (Birds Fly),icicle works,37,12,1984-04-21,1984-07-07,1,1.000,8.3,4.3,1984-06-09,1984-06-09,1,passing_neighbor,0.00,brief adjacency; usually adjacent; charted before focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR104995,Work From Home,fifth harmony,4,34,2016-03-19,2016-11-05,1,1.000,2.9,4.3,2016-05-14,2016-05-14,1,passing_neighbor,0.00,brief adjacency; usually adjacent; charted after focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR257487,You Can't Get What You Want,joe jackson,15,16,1984-04-21,1984-08-04,1,1.000,6.3,4.3,1984-06-16,1984-06-16,1,passing_neighbor,0.00,brief adjacency; usually adjacent; charted before focus
