rank,playlist_score,fate_label,weeks_overlapping,frequency,avg_proximity,min_proximity,max_proximity,overlap_pct_of_neighbor,overlap_pct_of_focus,overlap_first_date,overlap_last_date,neighbor_peak_position,neighbor_total_chart_weeks,neighbor_first_chart_date,neighbor_last_chart_date,neighbor_rvtr,neighbor_graph_track_id,neighbor_title,neighbor_artist
34,0.00,passing_neighbor,1,1,2.000,2,2,11.1,4.3,1984-10-06,1984-10-06,52,9,1984-09-22,1984-11-17,RVTR404966,4461,Bouncing Off The Wall,matthew wilder
35,0.00,passing_neighbor,1,1,2.000,2,2,5.9,4.3,1984-09-15,1984-09-15,15,17,1984-07-21,1984-11-10,RVTR615289,4689,Dynamite,jermaine jackson
36,0.00,passing_neighbor,1,1,2.000,2,2,4.5,4.3,1984-06-23,1984-06-23,4,22,1984-05-05,1984-09-29,RVTR870229,19279,Eyes Without A Face,billy idol
37,0.00,passing_neighbor,1,1,2.000,2,2,14.3,4.3,2016-05-14,2016-05-14,10,7,2016-05-14,2016-06-25,RVTR461165,4587,Formation,beyonce
38,0.00,passing_neighbor,1,1,2.000,2,2,8.3,4.3,1984-10-06,1984-10-06,33,12,1984-09-29,1984-12-15,RVTR467863,29755,Girls With Guns,tommy shaw
39,0.00,passing_neighbor,1,1,2.000,2,2,4.2,4.3,1984-06-16,1984-06-16,1,24,1984-02-25,1984-08-04,RVTR088449,30577,Hello,lionel richie
40,0.00,passing_neighbor,1,1,2.000,2,2,7.7,4.3,1984-10-13,1984-10-13,36,13,1984-10-13,1985-01-05,RVTR678271,9357,I Need You Tonight,peter wolf
41,0.00,passing_neighbor,1,1,2.000,2,2,2.9,4.3,2016-05-07,2016-05-07,18,35,2016-02-27,2016-10-22,RVTR457559,14817,Low Life,future
42,0.00,passing_neighbor,1,1,2.000,2,2,3.7,4.3,2016-05-07,2016-05-07,19,27,2016-01-23,2016-07-23,RVTR578603,12323,Oui,jeremih
43,0.00,passing_neighbor,1,1,2.000,2,2,4.3,4.3,1984-09-29,1984-09-29,1,23,1984-09-29,1985-03-02,RVTR457133,20244,Out Of Touch,daryl hall undefined john oates
44,0.00,passing_neighbor,1,1,2.000,2,2,6.3,4.3,1984-06-09,1984-06-09,25,16,1984-03-24,1984-07-07,RVTR920094,20827,Rock You Like A Hurricane,scorpions
45,0.00,passing_neighbor,1,1,2.000,2,2,20.0,4.3,1984-10-13,1984-10-13,68,5,1984-10-06,1984-11-03,RVTR185775,332,Say Hello To Ronnie,janey street
46,0.00,passing_neighbor,1,1,2.000,2,2,5.9,4.3,1984-06-16,1984-06-16,16,17,1984-05-05,1984-08-25,RVTR285305,19141,Stay The Night,chicago
47,0.00,passing_neighbor,1,1,2.000,2,2,3.8,4.3,1984-09-08,1984-09-08,7,26,1984-06-16,1984-12-08,RVTR731301,635,The Glamorous Life,sheila e
48,0.00,passing_neighbor,1,1,2.000,2,2,5.0,4.3,1984-06-23,1984-06-23,6,20,1984-04-21,1984-09-01,RVTR136955,7626,The Heart Of Rock & Roll,huey lewis
49,0.00,passing_neighbor,1,1,2.000,2,2,6.7,4.3,1984-09-22,1984-09-22,20,15,1984-08-04,1984-11-10,RVTR104796,22958,The Lucky One,laura branigan
50,0.00,passing_neighbor,1,1,2.000,2,2,4.8,4.3,1984-06-30,1984-06-30,1,21,1984-04-21,1984-09-08,RVTR440365,99,The Reflex,duran duran
51,0.00,passing_neighbor,1,1,2.000,2,2,6.7,4.3,1984-09-22,1984-09-22,21,15,1984-07-28,1984-11-03,RVTR493853,14871,We're Not Gonna Take It,twisted sister
52,0.00,passing_neighbor,1,1,2.000,2,2,5.3,4.3,1984-09-29,1984-09-29,15,19,1984-09-15,1985-01-19,RVTR436737,18538,What About Me?,kenny rogers
53,0.00,passing_neighbor,1,1,2.000,2,2,5.9,4.3,1984-09-15,1984-09-15,14,17,1984-07-14,1984-11-03,RVTR519584,13292,When You Close Your Eyes,night ranger
54,0.00,passing_neighbor,1,1,2.000,2,2,5.6,4.3,1984-06-02,1984-06-02,26,18,1984-02-25,1984-06-23,RVTR628742,26567,White Horse,laid back
55,0.00,passing_neighbor,1,1,2.000,2,2,2.8,4.3,2016-05-14,2016-05-14,1,36,2016-02-13,2016-10-15,RVTR921019,24724,Work,rihanna
