playlist_rank,playlist_score,rvtr,graph_track_id,title,artist,weeks_overlapping,avg_proximity,overlap_pct_of_focus,peak_position,total_chart_weeks,first_chart_date,last_chart_date,fate_label,focus_rvtr,focus_title,focus_artist
1,1.60,RVTR588513,1780,Got To Give It Up (Pt. I),marvin gaye,6,1.000,26.1,1,18,1977-04-16,1977-08-13,core_companion,RVTR569927,Dreams,fleetwood mac
2,0.60,RVTR338626,16150,Gonna Fly Now,bill conti,5,1.800,21.7,1,20,1977-04-23,1977-09-03,orbit_neighbor,RVTR569927,Dreams,fleetwood mac
3,0.60,RVTR401723,21605,I'm Your Boogie Man,kc and the sunshine band,4,1.250,17.4,1,23,1977-02-26,1977-07-30,core_companion,RVTR569927,Dreams,fleetwood mac
4,0.20,RVTR583205,4965,High School Dance,The Sylvers,2,1.000,8.7,17,17,1977-04-23,1977-08-13,recurring_neighbor,RVTR569927,Dreams,fleetwood mac
5,0.20,RVTR878807,26076,Lonely Boy,andrew gold,2,1.000,8.7,7,21,1977-03-19,1977-08-06,recurring_neighbor,RVTR569927,Dreams,fleetwood mac
6,0.10,RVTR308295,21129,Circles,post malone,2,1.500,8.7,1,61,2019-09-14,2020-11-07,recurring_neighbor,RVTR569927,Dreams,fleetwood mac
7,0.10,RVTR784438,9917,Feels Like The First Time,foreigner,2,1.500,8.7,4,22,1977-03-26,1977-08-20,recurring_neighbor,RVTR569927,Dreams,fleetwood mac
8,0.10,RVTR815712,1,Life in the Fast Lane,Eagles,2,1.500,8.7,11,15,1977-02-12,1977-08-13,recurring_neighbor,RVTR569927,Dreams,fleetwood mac
9,0.10,,7928,Life in the Fast Lane,Eagles,2,1.500,8.7,11,15,1977-02-12,1977-08-13,recurring_neighbor,RVTR569927,Dreams,fleetwood mac
10,0.10,,23521,Life In The Fast Lane,Eagles,2,1.500,8.7,11,15,1977-02-12,1977-08-13,recurring_neighbor,RVTR569927,Dreams,fleetwood mac
11,0.10,RVTR932299,14285,Lucille,kenny rogers,2,1.500,8.7,5,19,1977-03-26,1977-07-30,recurring_neighbor,RVTR569927,Dreams,fleetwood mac
12,0.10,RVTR496962,16663,Da Doo Ron Ron,shaun cassidy,2,2.000,8.7,1,22,1977-05-14,1977-10-08,orbit_neighbor,RVTR569927,Dreams,fleetwood mac
13,0.00,RVTR970466,5890,Ariel,dean friedman,1,1.000,4.3,26,22,1977-04-16,1977-09-10,passing_neighbor,RVTR569927,Dreams,fleetwood mac
14,0.00,RVTR716881,5754,Be Like That,kane brown,1,1.000,4.3,19,21,2020-07-25,2020-12-12,passing_neighbor,RVTR569927,Dreams,fleetwood mac
15,0.00,RVTR356017,20705,Before You Go,lewis capaldi,1,1.000,4.3,9,52,2020-02-08,2021-02-27,passing_neighbor,RVTR569927,Dreams,fleetwood mac
16,0.00,RVTR476733,21582,Best Of My Love,The Emotions,1,1.000,4.3,1,23,1977-06-11,1977-11-12,passing_neighbor,RVTR569927,Dreams,fleetwood mac
17,0.00,RVTR675407,13996,Can't Stop Dancin',captain,1,1.000,4.3,13,12,1977-03-19,1977-06-04,passing_neighbor,RVTR569927,Dreams,fleetwood mac
18,0.00,RVTR735193,22921,Cherry Baby,starz,1,1.000,4.3,33,10,1977-03-19,1977-05-21,passing_neighbor,RVTR569927,Dreams,fleetwood mac
19,0.00,RVTR684939,19745,Come & Go,juice wrld x marshmello,1,1.000,4.3,2,20,2020-07-25,2020-12-05,passing_neighbor,RVTR569927,Dreams,fleetwood mac
20,0.00,RVTR223531,4390,Dancin' Man,q,1,1.000,4.3,23,13,1977-03-12,1977-06-04,passing_neighbor,RVTR569927,Dreams,fleetwood mac
21,0.00,RVTR925777,6191,Do You Wanna Make Love,peter mccann,1,1.000,4.3,5,22,1977-04-23,1977-09-17,passing_neighbor,RVTR569927,Dreams,fleetwood mac
22,0.00,RVTR155161,2888,Don't Stop,fleetwood mac,1,1.000,4.3,3,18,1977-07-09,1977-11-05,passing_neighbor,RVTR569927,Dreams,fleetwood mac
23,0.00,RVTR080991,6102,Easy,commodores,1,1.000,4.3,4,22,1977-06-04,1977-10-29,passing_neighbor,RVTR569927,Dreams,fleetwood mac
24,0.00,RVTR289772,10566,For The Night,pop smoke,1,1.000,4.3,6,43,2020-07-18,2021-05-08,passing_neighbor,RVTR569927,Dreams,fleetwood mac
25,0.00,RVTR099737,32167,Heard It In A Love Song,The Marshall Tucker Band,1,1.000,4.3,14,21,1977-03-12,1977-07-30,passing_neighbor,RVTR569927,Dreams,fleetwood mac
26,0.00,RVTR091518,13115,I Just Want To Be Your Everything,andy gibb,1,1.000,4.3,1,31,1977-04-23,1977-11-19,passing_neighbor,RVTR569927,Dreams,fleetwood mac
27,0.00,RVTR388313,14118,If It's The Last Thing I Do,thelma houston,1,1.000,4.3,47,11,1977-06-04,1977-08-13,passing_neighbor,RVTR569927,Dreams,fleetwood mac
28,0.00,RVTR958565,6557,It's Sad To Belong,england dan,1,1.000,4.3,21,16,1977-05-07,1977-08-20,passing_neighbor,RVTR569927,Dreams,fleetwood mac
29,0.00,RVTR837568,17795,Looks Like We Made It,barry manilow,1,1.000,4.3,1,19,1977-05-07,1977-09-10,passing_neighbor,RVTR569927,Dreams,fleetwood mac
30,0.00,RVTR903443,2884,Love's Grown Deep,kenny nolan,1,1.000,4.3,20,18,1977-04-02,1977-07-30,passing_neighbor,RVTR569927,Dreams,fleetwood mac
