rank,playlist_score,fate_label,weeks_overlapping,frequency,avg_proximity,min_proximity,max_proximity,overlap_pct_of_neighbor,overlap_pct_of_focus,overlap_first_date,overlap_last_date,neighbor_peak_position,neighbor_total_chart_weeks,neighbor_first_chart_date,neighbor_last_chart_date,neighbor_rvtr,neighbor_graph_track_id,neighbor_title,neighbor_artist
1,1.60,core_companion,6,6,1.000,1,1,33.3,26.1,1977-05-21,1977-08-13,1,18,1977-04-16,1977-08-13,RVTR588513,1780,Got To Give It Up (Pt. I),marvin gaye
2,0.60,orbit_neighbor,5,5,1.800,1,2,25.0,21.7,1977-05-21,1977-06-18,1,20,1977-04-23,1977-09-03,RVTR338626,16150,Gonna Fly Now,bill conti
3,0.60,core_companion,4,4,1.250,1,2,17.4,17.4,1977-05-21,1977-06-11,1,23,1977-02-26,1977-07-30,RVTR401723,21605,I'm Your Boogie Man,kc and the sunshine band
4,0.20,recurring_neighbor,2,2,1.000,1,1,11.8,8.7,1977-08-06,1977-08-13,17,17,1977-04-23,1977-08-13,RVTR583205,4965,High School Dance,The Sylvers
5,0.20,recurring_neighbor,2,2,1.000,1,1,9.5,8.7,1977-05-14,1977-06-25,7,21,1977-03-19,1977-08-06,RVTR878807,26076,Lonely Boy,andrew gold
6,0.10,recurring_neighbor,2,2,1.500,1,2,3.3,8.7,2020-10-17,2020-10-31,1,61,2019-09-14,2020-11-07,RVTR308295,21129,Circles,post malone
7,0.10,recurring_neighbor,2,2,1.500,1,2,9.1,8.7,1977-06-25,1977-08-20,4,22,1977-03-26,1977-08-20,RVTR784438,9917,Feels Like The First Time,foreigner
8,0.10,recurring_neighbor,2,2,1.500,1,2,13.3,8.7,1977-07-16,1977-08-06,11,15,1977-02-12,1977-08-13,RVTR815712,1,Life in the Fast Lane,Eagles
9,0.10,recurring_neighbor,2,2,1.500,1,2,13.3,8.7,1977-07-16,1977-08-06,11,15,1977-02-12,1977-08-13,,7928,Life in the Fast Lane,Eagles
10,0.10,recurring_neighbor,2,2,1.500,1,2,13.3,8.7,1977-07-16,1977-08-06,11,15,1977-02-12,1977-08-13,,23521,Life In The Fast Lane,Eagles
11,0.10,recurring_neighbor,2,2,1.500,1,2,10.5,8.7,1977-05-14,1977-06-25,5,19,1977-03-26,1977-07-30,RVTR932299,14285,Lucille,kenny rogers
12,0.10,orbit_neighbor,2,2,2.000,2,2,9.1,8.7,1977-06-25,1977-07-02,1,22,1977-05-14,1977-10-08,RVTR496962,16663,Da Doo Ron Ron,shaun cassidy
13,0.00,passing_neighbor,1,1,1.000,1,1,4.5,4.3,1977-07-23,1977-07-23,26,22,1977-04-16,1977-09-10,RVTR970466,5890,Ariel,dean friedman
14,0.00,passing_neighbor,1,1,1.000,1,1,4.8,4.3,2020-10-31,2020-10-31,19,21,2020-07-25,2020-12-12,RVTR716881,5754,Be Like That,kane brown
15,0.00,passing_neighbor,1,1,1.000,1,1,1.9,4.3,2020-10-24,2020-10-24,9,52,2020-02-08,2021-02-27,RVTR356017,20705,Before You Go,lewis capaldi
16,0.00,passing_neighbor,1,1,1.000,1,1,4.3,4.3,1977-07-09,1977-07-09,1,23,1977-06-11,1977-11-12,RVTR476733,21582,Best Of My Love,The Emotions
