rank,playlist_score,fate_label,weeks_overlapping,frequency,avg_proximity,min_proximity,max_proximity,overlap_pct_of_neighbor,overlap_pct_of_focus,overlap_first_date,overlap_last_date,neighbor_peak_position,neighbor_total_chart_weeks,neighbor_first_chart_date,neighbor_last_chart_date,neighbor_rvtr,neighbor_graph_track_id,neighbor_title,neighbor_artist
1,1.40,core_companion,7,7,1.286,1,2,30.4,25.9,1978-03-11,1978-06-10,3,23,1978-01-07,1978-06-10,RVTR255081,31789,Lay Down Sally,eric clapton
2,0.90,core_companion,5,5,1.000,1,1,25.0,18.5,1978-03-18,1978-04-15,1,20,1978-02-04,1978-06-17,RVTR794515,30206,Night Fever,bee gees
3,0.80,recurring_neighbor,6,6,1.667,1,2,22.2,22.2,1977-12-24,1978-03-25,3,27,1977-11-19,1978-05-20,RVTR116249,12402,Emotion,samantha sang
4,0.80,core_companion,5,5,1.200,1,2,22.7,18.5,1977-12-10,1978-03-04,3,22,1977-11-26,1978-04-22,RVTR792454,21064,Sometimes When We Touch,dan hill
5,0.50,recurring_neighbor,4,4,1.250,1,2,13.8,14.8,1978-02-11,1978-03-04,1,29,1977-11-05,1978-05-20,RVTR221885,19153,(Love Is) Thicker Than Water,andy gibb
6,0.50,recurring_neighbor,4,4,1.250,1,2,20.0,14.8,1978-01-14,1978-02-11,2,20,1977-11-12,1978-03-25,RVTR417751,16851,Short People,randy newman
7,0.40,recurring_neighbor,4,4,1.500,1,2,14.8,14.8,1978-01-14,1978-02-25,3,27,1977-11-12,1978-05-13,RVTR040762,2598,Just The Way You Are,billy joel
8,0.40,recurring_neighbor,4,4,1.500,1,2,23.5,14.8,1978-04-22,1978-05-13,11,17,1978-02-11,1978-06-03,RVTR672479,30891,Running On Empty,jackson browne
9,0.20,orbit_neighbor,3,3,2.000,2,2,15.8,11.1,1978-04-01,1978-04-15,3,19,1978-02-04,1978-06-10,RVTR227659,1046,Can't Smile Without You,barry manilow
10,0.10,orbit_neighbor,2,2,1.000,1,1,14.3,7.4,1978-04-22,1978-04-29,8,14,1978-03-11,1978-06-10,RVTR587830,21492,Count On Me,jefferson starship
11,0.10,orbit_neighbor,2,2,1.000,1,1,11.8,7.4,1977-12-24,1977-12-31,20,17,1977-10-01,1978-01-21,RVTR599726,8096,Your Smiling Face,james taylor
12,0.10,orbit_neighbor,2,2,1.500,1,2,7.1,7.4,1978-01-07,1978-03-11,6,28,1977-10-29,1978-05-06,RVTR932260,7180,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",chic
13,0.10,orbit_neighbor,2,2,1.500,1,2,20.0,7.4,1978-05-20,1978-05-27,31,10,1978-03-25,1978-05-27,RVTR816913,16451,Do You Believe In Magic,shaun cassidy
14,0.10,orbit_neighbor,2,2,1.500,1,2,9.5,7.4,1978-05-06,1978-05-13,10,21,1978-01-14,1978-06-03,RVTR832774,19562,Our Love,natalie cole
15,0.10,orbit_neighbor,2,2,2.000,2,2,6.3,7.4,1978-01-28,1978-02-04,1,32,1977-10-01,1978-05-06,RVTR030562,30833,Baby Come Back,player
16,0.10,orbit_neighbor,2,2,2.000,2,2,18.2,7.4,1977-12-24,1977-12-31,33,11,1977-11-19,1978-01-28,RVTR641536,28815,Girls' School,wings
17,0.00,passing_neighbor,1,1,1.000,1,1,6.3,3.7,1978-05-20,1978-05-20,12,16,1978-04-22,1978-08-05,RVTR947621,26008,Bluer Than Blue,michael johnson
18,0.00,passing_neighbor,1,1,1.000,1,1,4.5,3.7,1978-01-21,1978-01-21,8,22,1977-09-24,1978-02-18,RVTR286704,18423,Come Sail Away,styx
19,0.00,passing_neighbor,1,1,1.000,1,1,16.7,3.7,1978-05-27,1978-05-27,51,6,1978-05-20,1978-06-24,RVTR669950,11384,Darlin',paul davis
20,0.00,passing_neighbor,1,1,1.000,1,1,7.1,3.7,1978-01-07,1978-01-07,16,14,1977-12-03,1978-03-04,RVTR740469,18263,Desiree,neil diamond
21,0.00,passing_neighbor,1,1,1.000,1,1,12.5,3.7,1978-05-20,1978-05-20,34,8,1978-04-15,1978-06-03,RVTR067527,7966,Ego,elton john
