chart_date,focus_position,neighbor_position,proximity,neighbor_key,neighbor_title,neighbor_artist
1977-04-16,77,75,2,RVTR942013,Sub-rosa Subway/calling Occupants,klaatu
1977-04-16,77,76,1,RVTR351676,Sound And Vision,david bowie
1977-04-16,77,78,1,RVTR710977,Undercover Angel,alan o'day
1977-04-16,77,79,2,RVTR714637,Hold Back The Night,graham parker and the rumour
1977-04-23,56,54,2,RVTR443772,Sleepwalker,The Kinks
1977-04-23,56,55,1,RVTR903443,Love's Grown Deep,kenny nolan
1977-04-23,56,57,1,RVTR555690,You Take My Heart Away,james darren
1977-04-23,56,58,2,RVTR679070,Sing,tony orlando
1977-04-30,36,34,2,RVTR738638,Carry On Wayward Son,kansas
1977-04-30,36,35,1,RVTR735193,Cherry Baby,starz
1977-04-30,36,37,1,RVTR517642,Old Fashioned Boy (You're The One),stallion
1977-04-30,36,38,2,RVTR477180,Cinderella,firefall
1977-05-07,26,24,2,RVTR058993,Ain't Gonna Bump No More (with No Big Fat Woman),joe tex
1977-05-07,26,25,1,RVTR223531,Dancin' Man,q
1977-05-07,26,27,1,RVTR099737,Heard It In A Love Song,The Marshall Tucker Band
1977-05-07,26,28,2,RVTR025269,Whodunit,tavares
1977-05-14,14,12,2,RVTR932299,Lucille,kenny rogers
1977-05-14,14,13,1,RVTR675407,Can't Stop Dancin',captain
1977-05-14,14,15,1,RVTR878807,Lonely Boy,andrew gold
1977-05-14,14,16,2,RVTR554479,Calling Dr. Love,kiss
1977-05-21,6,4,2,RVTR401723,I'm Your Boogie Man,kc and the sunshine band
1977-05-21,6,5,1,RVTR588513,Got To Give It Up (Pt. I),marvin gaye
1977-05-21,6,7,1,RVTR338626,Gonna Fly Now,bill conti
1977-05-21,6,8,2,RVTR740340,Hotel California,Eagles
1977-05-21,6,8,2,graph:28249,Hotel California,Eagles
1977-05-28,4,2,2,RVTR536263,When I Need You,leo sayer
1977-05-28,4,3,1,RVTR401723,I'm Your Boogie Man,kc and the sunshine band
1977-05-28,4,5,1,RVTR588513,Got To Give It Up (Pt. I),marvin gaye
1977-05-28,4,6,2,RVTR338626,Gonna Fly Now,bill conti
1977-06-04,3,1,2,RVTR068754,Sir Duke,stevie wonder
1977-06-04,3,2,1,RVTR401723,I'm Your Boogie Man,kc and the sunshine band
1977-06-04,3,4,1,RVTR588513,Got To Give It Up (Pt. I),marvin gaye
1977-06-04,3,5,2,RVTR338626,Gonna Fly Now,bill conti
1977-06-11,2,1,1,RVTR401723,I'm Your Boogie Man,kc and the sunshine band
1977-06-11,2,3,1,RVTR588513,Got To Give It Up (Pt. I),marvin gaye
1977-06-11,2,4,2,RVTR338626,Gonna Fly Now,bill conti
1977-06-18,1,2,1,RVTR588513,Got To Give It Up (Pt. I),marvin gaye
1977-06-18,1,3,2,RVTR338626,Gonna Fly Now,bill conti
1977-06-25,6,4,2,RVTR784438,Feels Like The First Time,foreigner
1977-06-25,6,5,1,RVTR932299,Lucille,kenny rogers
1977-06-25,6,7,1,RVTR878807,Lonely Boy,andrew gold
1977-06-25,6,8,2,RVTR496962,Da Doo Ron Ron,shaun cassidy
1977-07-02,6,4,2,RVTR496962,Da Doo Ron Ron,shaun cassidy
1977-07-02,6,5,1,RVTR837568,Looks Like We Made It,barry manilow
1977-07-02,6,7,1,RVTR091518,I Just Want To Be Your Everything,andy gibb
1977-07-02,6,8,2,RVTR850631,Angel In Your Arms,hot
1977-07-09,13,11,2,RVTR572359,I'm In You,peter frampton
