focus_rvtr,focus_title,focus_peak_position,focus_total_chart_weeks,focus_first_chart_date,focus_last_chart_date,neighbor_rvtr,neighbor_title,neighbor_artist,neighbor_peak_position,neighbor_total_chart_weeks,neighbor_first_chart_date,neighbor_last_chart_date,weeks_overlapping,avg_proximity,overlap_pct_of_neighbor,overlap_pct_of_focus,overlap_first_date,overlap_last_date,overlap_span_weeks,fate_label,playlist_score,relationship_summary
RVTR934516,Stayin' Alive,1,27,1977-12-10,1978-06-10,RVTR255081,Lay Down Sally,eric clapton,3,23,1978-01-07,1978-06-10,7,1.286,30.4,25.9,1978-03-11,1978-06-10,14,core_companion,1.40,sustained orbit; high share of focus run; nearby on chart
RVTR934516,Stayin' Alive,1,27,1977-12-10,1978-06-10,RVTR794515,Night Fever,bee gees,1,20,1978-02-04,1978-06-17,5,1.000,25.0,18.5,1978-03-18,1978-04-15,5,core_companion,0.90,sustained orbit; moderate share of focus run; usually adjacent; charted after focus
RVTR934516,Stayin' Alive,1,27,1977-12-10,1978-06-10,RVTR116249,Emotion,samantha sang,3,27,1977-11-19,1978-05-20,6,1.667,22.2,22.2,1977-12-24,1978-03-25,14,recurring_neighbor,0.80,sustained orbit; high share of focus run; nearby on chart; charted before focus
RVTR934516,Stayin' Alive,1,27,1977-12-10,1978-06-10,RVTR792454,Sometimes When We Touch,dan hill,3,22,1977-11-26,1978-04-22,5,1.200,22.7,18.5,1977-12-10,1978-03-04,13,core_companion,0.80,sustained orbit; moderate share of focus run; usually adjacent; charted before focus
RVTR934516,Stayin' Alive,1,27,1977-12-10,1978-06-10,RVTR221885,(Love Is) Thicker Than Water,andy gibb,1,29,1977-11-05,1978-05-20,4,1.250,13.8,14.8,1978-02-11,1978-03-04,4,recurring_neighbor,0.50,sustained orbit; moderate share of focus run; usually adjacent; charted before focus
RVTR934516,Stayin' Alive,1,27,1977-12-10,1978-06-10,RVTR417751,Short People,randy newman,2,20,1977-11-12,1978-03-25,4,1.250,20.0,14.8,1978-01-14,1978-02-11,5,recurring_neighbor,0.50,sustained orbit; moderate share of focus run; usually adjacent; charted before focus
RVTR934516,Stayin' Alive,1,27,1977-12-10,1978-06-10,RVTR040762,Just The Way You Are,billy joel,3,27,1977-11-12,1978-05-13,4,1.500,14.8,14.8,1978-01-14,1978-02-25,7,recurring_neighbor,0.40,sustained orbit; moderate share of focus run; nearby on chart; charted before focus
RVTR934516,Stayin' Alive,1,27,1977-12-10,1978-06-10,RVTR672479,Running On Empty,jackson browne,11,17,1978-02-11,1978-06-03,4,1.500,23.5,14.8,1978-04-22,1978-05-13,4,recurring_neighbor,0.40,sustained orbit; moderate share of focus run; nearby on chart
RVTR934516,Stayin' Alive,1,27,1977-12-10,1978-06-10,RVTR227659,Can't Smile Without You,barry manilow,3,19,1978-02-04,1978-06-10,3,2.000,15.8,11.1,1978-04-01,1978-04-15,3,orbit_neighbor,0.20,repeat adjacency; moderate share of focus run
RVTR934516,Stayin' Alive,1,27,1977-12-10,1978-06-10,RVTR587830,Count On Me,jefferson starship,8,14,1978-03-11,1978-06-10,2,1.000,14.3,7.4,1978-04-22,1978-04-29,2,orbit_neighbor,0.10,repeat adjacency; usually adjacent
RVTR934516,Stayin' Alive,1,27,1977-12-10,1978-06-10,RVTR599726,Your Smiling Face,james taylor,20,17,1977-10-01,1978-01-21,2,1.000,11.8,7.4,1977-12-24,1977-12-31,2,orbit_neighbor,0.10,repeat adjacency; usually adjacent; charted before focus
RVTR934516,Stayin' Alive,1,27,1977-12-10,1978-06-10,RVTR932260,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",chic,6,28,1977-10-29,1978-05-06,2,1.500,7.1,7.4,1978-01-07,1978-03-11,10,orbit_neighbor,0.10,repeat adjacency; nearby on chart; charted before focus
RVTR934516,Stayin' Alive,1,27,1977-12-10,1978-06-10,RVTR816913,Do You Believe In Magic,shaun cassidy,31,10,1978-03-25,1978-05-27,2,1.500,20.0,7.4,1978-05-20,1978-05-27,2,orbit_neighbor,0.10,repeat adjacency; nearby on chart
RVTR934516,Stayin' Alive,1,27,1977-12-10,1978-06-10,RVTR832774,Our Love,natalie cole,10,21,1978-01-14,1978-06-03,2,1.500,9.5,7.4,1978-05-06,1978-05-13,2,orbit_neighbor,0.10,repeat adjacency; nearby on chart
RVTR934516,Stayin' Alive,1,27,1977-12-10,1978-06-10,RVTR030562,Baby Come Back,player,1,32,1977-10-01,1978-05-06,2,2.000,6.3,7.4,1978-01-28,1978-02-04,2,orbit_neighbor,0.10,repeat adjacency; charted before focus
RVTR934516,Stayin' Alive,1,27,1977-12-10,1978-06-10,RVTR641536,Girls' School,wings,33,11,1977-11-19,1978-01-28,2,2.000,18.2,7.4,1977-12-24,1977-12-31,2,orbit_neighbor,0.10,repeat adjacency; charted before focus
RVTR934516,Stayin' Alive,1,27,1977-12-10,1978-06-10,RVTR947621,Bluer Than Blue,michael johnson,12,16,1978-04-22,1978-08-05,1,1.000,6.3,3.7,1978-05-20,1978-05-20,1,passing_neighbor,0.00,brief adjacency; usually adjacent; charted after focus
RVTR934516,Stayin' Alive,1,27,1977-12-10,1978-06-10,RVTR286704,Come Sail Away,styx,8,22,1977-09-24,1978-02-18,1,1.000,4.5,3.7,1978-01-21,1978-01-21,1,passing_neighbor,0.00,brief adjacency; usually adjacent; charted before focus
