playlist_rank,playlist_score,rvtr,graph_track_id,title,artist,weeks_overlapping,avg_proximity,overlap_pct_of_focus,peak_position,total_chart_weeks,first_chart_date,last_chart_date,fate_label,focus_rvtr,focus_title,focus_artist
1,0.90,RVTR416432,3564,Dancing In The Dark,bruce springsteen,5,1.200,21.7,2,21,1984-05-26,1984-10-13,core_companion,RVTR593089,When Doves Cry,prince
2,0.90,RVTR761829,5413,Ghostbusters,ray parker jr,5,1.200,21.7,1,26,1984-06-16,2025-11-15,core_companion,RVTR593089,When Doves Cry,prince
3,0.40,RVTR390469,5095,I Can Dream About You,dan hartman,4,1.750,17.4,6,25,1984-05-05,1984-10-20,recurring_neighbor,RVTR593089,When Doves Cry,prince
4,0.40,RVTR017740,24310,Jump (for My Love),The Pointer Sisters,4,1.750,17.4,3,24,1984-04-28,1984-10-06,recurring_neighbor,RVTR593089,When Doves Cry,prince
5,0.40,RVTR670006,15486,Rock Me Tonite,billy squier,3,1.000,13.0,15,16,1984-07-07,1984-10-20,recurring_neighbor,RVTR593089,When Doves Cry,prince
6,0.30,RVTR378030,7156,State of Shock,The Jacksons,3,1.333,13.0,3,15,1984-06-30,1984-10-06,recurring_neighbor,RVTR593089,When Doves Cry,prince
7,0.30,RVTR240450,21663,Stuck On You,lionel richie,3,1.333,13.0,3,19,1984-06-23,1984-10-27,recurring_neighbor,RVTR593089,When Doves Cry,prince
8,0.20,RVTR459434,15869,If Ever You're In My Arms Again,peabo bryson,3,1.667,13.0,10,25,1984-05-12,1984-10-27,recurring_neighbor,RVTR593089,When Doves Cry,prince
9,0.20,RVTR733817,27138,What's Love Got To Do With It,tina turner,3,2.000,13.0,1,28,1984-05-19,1984-11-24,orbit_neighbor,RVTR593089,When Doves Cry,prince
10,0.10,RVTR001420,3879,New Girl Now,honeymoon suite,2,1.500,8.7,57,7,1984-09-08,1984-10-20,recurring_neighbor,RVTR593089,When Doves Cry,prince
11,0.10,RVTR863761,6560,Sunglasses At Night,corey hart,2,2.000,8.7,7,23,1984-05-26,1984-10-27,orbit_neighbor,RVTR593089,When Doves Cry,prince
12,0.00,RVTR990389,13734,2 Phones,kevin gates,1,1.000,4.3,17,25,2016-01-23,2016-07-09,passing_neighbor,RVTR593089,When Doves Cry,prince
13,0.00,RVTR095454,1218,Caribbean Queen (No More Love On The Run),billy ocean,1,1.000,4.3,1,26,1984-08-11,1985-02-02,passing_neighbor,RVTR593089,When Doves Cry,prince
14,0.00,RVTR176646,11745,Cool It Now,new edition,1,1.000,4.3,4,25,1984-09-22,1985-03-09,passing_neighbor,RVTR593089,When Doves Cry,prince
15,0.00,RVTR647705,18407,Drive,The Cars,1,1.000,4.3,3,19,1984-08-04,1984-12-08,passing_neighbor,RVTR593089,When Doves Cry,prince
16,0.00,RVTR736988,15029,Farewell My Summer Love,michael jackson,1,1.000,4.3,38,12,1984-05-26,1984-08-11,passing_neighbor,RVTR593089,When Doves Cry,prince
17,0.00,RVTR484947,5985,I Just Called To Say I Love You,stevie wonder,1,1.000,4.3,1,26,1984-08-18,1985-02-09,passing_neighbor,RVTR593089,When Doves Cry,prince
18,0.00,RVTR679676,18066,I'll Wait,van halen,1,1.000,4.3,13,14,1984-04-14,1984-07-14,passing_neighbor,RVTR593089,When Doves Cry,prince
19,0.00,RVTR781525,9428,Lights Out,peter wolf,1,1.000,4.3,12,14,1984-07-14,1984-10-13,passing_neighbor,RVTR593089,When Doves Cry,prince
20,0.00,RVTR980902,20590,Midnite Maniac,krokus,1,1.000,4.3,71,6,1984-09-15,1984-10-20,passing_neighbor,RVTR593089,When Doves Cry,prince
21,0.00,RVTR488553,23830,Missing You,john waite,1,1.000,4.3,1,24,1984-06-23,1984-12-01,passing_neighbor,RVTR593089,When Doves Cry,prince
22,0.00,RVTR395258,23180,No Way Out,jefferson starship,1,1.000,4.3,23,16,1984-05-12,1984-08-25,passing_neighbor,RVTR593089,When Doves Cry,prince
23,0.00,RVTR809922,31905,"Oh, Sherrie",steve perry,1,1.000,4.3,3,20,1984-04-07,1984-08-18,passing_neighbor,RVTR593089,When Doves Cry,prince
24,0.00,RVTR077806,27544,Pillowtalk,zayn,1,1.000,4.3,1,24,2016-02-20,2016-07-30,passing_neighbor,RVTR593089,When Doves Cry,prince
25,0.00,RVTR074426,10731,Self Control,laura branigan,1,1.000,4.3,4,25,1984-04-14,1984-09-29,passing_neighbor,RVTR593089,When Doves Cry,prince
26,0.00,RVTR975901,17365,She Bop,cyndi lauper,1,1.000,4.3,3,18,1984-07-21,1984-11-17,passing_neighbor,RVTR593089,When Doves Cry,prince
27,0.00,RVTR877489,11904,Sorry,justin bieber,1,1.000,4.3,1,42,2015-11-14,2016-08-27,passing_neighbor,RVTR593089,When Doves Cry,prince
28,0.00,RVTR463902,10789,Teacher Teacher,38 special,1,1.000,4.3,25,12,1984-09-29,1984-12-15,passing_neighbor,RVTR593089,When Doves Cry,prince
29,0.00,RVTR363337,12321,Tonight,kool,1,1.000,4.3,13,18,1984-02-25,1984-06-23,passing_neighbor,RVTR593089,When Doves Cry,prince
30,0.00,RVTR464459,23380,Whisper To A Scream (Birds Fly),icicle works,1,1.000,4.3,37,12,1984-04-21,1984-07-07,passing_neighbor,RVTR593089,When Doves Cry,prince
