rvtr,artist,title,playCount,reason,approvedFacts,approvedStories,candidateFacts,candidateStories,researchSources,canBuildCardsReason
RVTR839545,George McCrae,Rock Your Baby,17,ready_for_card_assembly,10,6,10,6,6,
RVTR253373,Journey,Don't Stop Believin',17,ready_for_card_assembly,17,7,17,7,7,
RVTR976054,Queen,Bohemian Rhapsody,17,ready_for_card_assembly,11,8,11,8,7,
RVTR871687,Hues Corporation,Rock The Boat,17,ready_for_card_assembly,16,7,16,7,7,
RVTR894824,Poison,Every Rose Has Its Thorn,17,ready_for_card_assembly,18,7,18,7,6,
RVTR607017,Roxette,The Look,16,ready_for_card_assembly,12,6,12,6,7,
RVTR300772,Aerosmith,Dream On,16,ready_for_card_assembly,21,8,21,8,7,
RVTR833121,Heart,Crazy On You,16,ready_for_card_assembly,13,5,13,5,7,
RVTR711940,Jars Of Clay,Flood,16,ready_for_card_assembly,13,8,13,8,6,
RVTR173020,Men At Work,Overkill,16,ready_for_card_assembly,9,6,9,6,6,
RVTR620162,Melanie,Brand New Key,16,ready_for_card_assembly,10,7,10,7,7,
RVTR896359,Led Zeppelin,Thank You,16,ready_for_card_assembly,15,6,15,6,6,
RVTR565286,Roy Orbison,You Got It,16,ready_for_card_assembly,18,7,18,7,7,
RVTR018797,Divinyls,I Touch Myself,16,ready_for_card_assembly,16,8,16,8,7,
RVTR056508,Sean Kingston,Beautiful Girls,16,ready_for_card_assembly,13,8,13,8,6,
RVTR840141,Glen Campbell,Rhinestone Cowboy,16,ready_for_card_assembly,11,4,11,4,6,
RVTR253281,Traveling Wilburys,End Of The Line,16,ready_for_card_assembly,15,8,15,8,6,
RVTR056686,Montell Jordan,This Is How We Do It,16,ready_for_card_assembly,11,7,11,7,5,
RVTR861273,Nitty Gritty Dirt Band,Mr Bojangles,16,ready_for_card_assembly,7,4,7,4,6,
RVTR759486,Michael Jackson,The Way You Make Me Feel,15,ready_for_card_assembly,13,7,13,7,7,
