rvtr,artist,title,play_count,file_path,chart_history_count,has_existing_collector
RVTR056686,"Montell Jordan","This Is How We Do It",16,"/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Montell Jordan - This Is How We Do It.mp4",1,no
RVTR861273,"Nitty Gritty Dirt Band","Mr Bojangles",16,"/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Nitty Gritty Dirt Band - Mr Bojangles.mp4",1,no
RVTR759486,"Michael Jackson","The Way You Make Me Feel",15,"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Michael Jackson - The Way You Make Me Feel (Official Video).mp4",1,no
RVTR339336,"War","Low Rider",15,"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/War - Low Rider.mp4",1,no
RVTR424524,"The Clash","Rock The Casbah",15,"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Clash - Rock The Casbah.mp4",1,no
RVTR908509,"Asia","Heat Of The Moment",15,"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Asia - Heat Of The Moment.mp4",1,no
RVTR300772,"Aerosmith","Dream On",15,"/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Aerosmith - Dream On (Live).mp4",1,no
RVTR654480,"Rolling Stones","Wild Horses",15,"/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Rolling Stones - Wild Horses.mp4",1,no
RVTR846133,"Neil Diamond","Sweet Caroline",15,"/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Neil Diamond - Sweet Caroline.mp4",1,no
RVTR857213,"ABBA","Knowing Me, Knowing You",15,"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/ABBA - Knowing Me, Knowing You.mp4",1,no
