bucket,artist,title,filePath,rvtr,matchedTitle,matchedArtist,score,artistScore,titleScore,tier,assigned,assignError
auto-matched,The Animals,Please Don't Let Me Be Misunderstood  (Color),/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Animals - Please Don't Let Me Be Misunderstood (Color).mp4,RVTR619129,Please Don'T Let Me Be Misunderstood Color,The Animals,100,100,100,A,yes,
auto-matched,"Taylor Swift, Alison Krauss, Vince Gill",Red (Cma Awards),"/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Taylor Swift, Alison Krauss, Vince Gill - Red (Cma Awards).mp4",RVTR254821,Red Cma Awards,"Taylor Swift, Alison Krauss, Vince Gill",100,100,100,A,yes,
auto-matched,The Only Way I Know,"Jason Aldean,Eric Church, Luke Bryan","/Users/bobhopp/DJ MEDIA/VIDEO/COUNTRY/FILL/The Only Way I Know - Jason Aldean,Eric Church, Luke Bryan.mp4",RVTR982337,Jason Aldean Eric Church Luke Bryan,The Only Way I Know,100,100,100,A,yes,
auto-matched,Elvis Costello & The Attractions,The Only Flame In Town,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Elvis Costello & The Attractions - The Only Flame In Town.mp4,RVTR706490,The Only Flame In Town,elvis costello,96,91,100,B,yes,
auto-matched,The Singing Nun,Dominique & Les Pieds Des Missionnaires,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Singing Nun - Dominique & Les Pieds Des Missionnaires.mp4,RVTR116789,Dominique Les Pieds Des Missionnaires,The Singing Nun,100,100,100,A,yes,
auto-matched,30 Seconds To Mars,Closer To The Edge (PO Non Break Edit*),/Users/bobhopp/DJ MEDIA/VIDEO/2010's/30 Seconds To Mars - Closer To The Edge (PO Non Break Edit_).mp4,RVTR233341,Closer To The Edge Po Non Break Edit,30 seconds to mars,100,100,100,A,yes,
auto-matched,The Happenings,I Got Got Rhythm,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Happenings - I Got Rhythm  - 1967 Smothers Bros. Show (2).mp4,RVTR729350,I Got Rhythm,The Happenings,100,100,100,C,yes,
auto-matched,KC & The Sunshine Band,Get Down Tonight (Tom Moulton Mix),/Users/bobhopp/DJ MEDIA/VIDEO/1970's/KC & The Sunshine Band - Get Down Tonight (Tom Moulton Mix).mp4,RVTR643247,Get Down Tonight,K.C. & The Sunshine Band,95,100,91,B,yes,
auto-matched,Taylor Swift feat. Brendon Urie Of Panic! At The Disco,Me!,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Taylor Swift feat. Brendon Urie Of Panic! At The Disco - Me!.mp4,RVTR019504,Me,Taylor Swift feat. Brendon Urie Of Panic! At The Disco,100,100,100,A,yes,
auto-matched,Tears for Fears (New),Everybody Wants to Rule the World (Live),/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Tears for Fears - Everybody Wants to Rule the World (Live).mp4,RVTR662496,Everybody Wants To Rule The World Live,Tears for Fears (New),100,100,100,A,yes,
auto-matched,The Jimi Hendrix Experience,Voodoo Child (Slight Return),/Users/bobhopp/DJ MEDIA/VIDEO/1970's/The Jimi Hendrix Experience - Voodoo Child (Slight Return).mp4,RVTR075791,Voodoo Child Slight Return,The Jimi Hendrix Experience,100,100,100,A,yes,
auto-matched,Across The Universe,Being For The Benefit Of Mr Kite  (2007),/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Across The Universe - Being For The Benefit Of Mr Kite  (2007).mp4,RVTR279287,Being For The Benefit Of Mr Kite 2007,Across The Universe,100,100,100,A,yes,
auto-matched,Judy Garland & Liza Minnelli,Together Wherever We Go (1963),/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Judy Garland & Liza Minnelli - Together Wherever We Go (1963).mp4,RVTR882842,Together Wherever We Go 1963,Judy Garland & Liza Minnelli,100,100,100,A,yes,
auto-matched,Shakira f./Dizzee Rascal,Loca (Freemasons Mixshow Edit*),/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Shakira f._Dizzee Rascal - Loca (Freemasons Mixshow Edit_).mp4,RVTR772075,Loca Freemasons Mixshow Edit,Shakira f./Dizzee Rascal,100,100,100,A,yes,
auto-matched,Climie Fisher,Love Changes Everything (Extended Version),/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Climie Fisher - Love Changes Everything (Extended Version).mp4,RVTR137934,Love Changes Everything Extended Version,climie fisher,100,100,100,A,yes,
auto-matched,Marilyn McCoo,Up Up & Away Last Night I Didn t Get to Sleep,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Marilyn McCoo - Up Up & Away Last Night I Didn t Get to Sleep.mp4,RVTR753044,Up Up Away Last Night I Didn T Get To Sleep,marilyn mccoo,100,100,100,A,yes,
auto-matched,Duran Duran,Rio,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Duran Duran - Rio.mp4,RVTR778204,Rio,duran duran,100,100,100,A,yes,
auto-matched,"Elle King, Miranda Lambert",Drunk (And I Don't Wanna Go Home),"/Users/bobhopp/DJ MEDIA/VIDEO/2020's/Elle King, Miranda Lambert - Drunk (And I Don't Wanna Go Home).mp4",RVTR251793,Drunk And I Don'T Wanna Go Home,"Elle King, Miranda Lambert",100,100,100,A,yes,
auto-matched,Are There Any More Real Cowboys,"Willie Nelson, Neil Young","/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Are There Any More Real Cowboys - Willie Nelson, Neil Young.mp4",RVTR151888,Willie Nelson Neil Young,Are There Any More Real Cowboys,100,100,100,A,yes,
auto-matched,Florence + the Machine,Florence + the Machine - The Chain (Glastonbury Festival 2010),/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Florence + the Machine - The Chain (Glastonbury Festival 2010).mp4,RVTR081752,Florence The Machine The Chain Glastonbury Festival 2010,florence + the machine,100,100,100,B,yes,
auto-matched,"Neil Diamond, Natalie Maines",Another Day (That Time Forgot),"/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Neil Diamond, Natalie Maines - Another Day (That Time Forgot).mp4",RVTR168858,Another Day That Time Forgot,"Neil Diamond, Natalie Maines",100,100,100,A,yes,
auto-matched,Gloria Jones Vs. Fine Young Cannibals,Tainted / Good Thing,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Gloria Jones Vs. Fine Young Cannibals - Tainted _ Good Thing.mp4,RVTR442872,Tainted Good Thing,Gloria Jones Vs. Fine Young Cannibals,100,100,100,A,yes,
auto-matched,Jamie Foxx f./Drake,Fall For Your Type (Broadcast Version),/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Jamie Foxx f._Drake - Fall For Your Type (Broadcast Version).mp4,RVTR730326,Fall For Your Type Broadcast Version,Jamie Foxx f./Drake,100,100,100,A,yes,
auto-matched,Edison Lighthouse,Love Grows Where My Rosemary Grows (BW),/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Edison Lighthouse - Love Grows Where My Rosemary Grows (BW).mp4,RVTR067048,Love Grows Where My Rosemary Grows Bw,edison lighthouse,100,100,100,A,yes,
