FilePath,Artist,Title,Year,RVTags
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/James Brown - It's a Man's World (Live).mp4,James Brown,It's a Man's World (Live),1967,#Soul #SlowDance #CrowdFavorite #TVFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Jefferson Airplane - Martha.mp4,Jefferson Airplane,Martha,1967,#Psychedelic #SummerOfLove #DeepCut
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Jefferson Airplane - White Rabbit.mp4,Jefferson Airplane,White Rabbit,1967,#Psychedelic #SummerOfLove #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Jimi Hendrix - Hear My Train Comin' (Acoustic).mp4,Jimi Hendrix,Hear My Train Comin' (Acoustic),1967,#Psychedelic #DeepCut
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Jimi Hendrix - Purple Haze (1967).mp4,Jimi Hendrix,Purple Haze (1967),1967,#Psychedelic #CrowdFavorite #PartyStarter
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Jimi Hendrix - The Wind Cries Mary.mp4,Jimi Hendrix,The Wind Cries Mary,1967,#Psychedelic #SlowDance #DeepCut
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Jimi Hendrix Experience - Purple Haze.mp4,Jimi Hendrix Experience,Purple Haze,1967,#Psychedelic #CrowdFavorite #PartyStarter
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/John Fred & His Playboy Band - Judy In Disguise.mp4,John Fred & His Playboy Band,Judy In Disguise,1967,#Novelty #OneHitWonder #PartyStarter
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/John Fred And His Playboy Band - Judy In Disguise.mp4,John Fred And His Playboy Band,Judy In Disguise,1967,#Novelty #OneHitWonder #PartyStarter
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/John Lennon - Come Together.mp4,John Lennon,Come Together,1967,#BritishInvasion #Psychedelic #DeepCut
"/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Johnny Rivers - Baby, I Need Your Lovin'.mp4",Johnny Rivers,"Baby, I Need Your Lovin'",1967,#Soul #CrowdFavorite #DanceFloor
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Johnny Rivers - Summer Rain.mp4,Johnny Rivers,Summer Rain,1967,#CrowdFavorite #SlowDance #SummerOfLove
