bucket,artist,title,filePath,rvtr,matchedTitle,matchedArtist,score,artistScore,titleScore,tier,assigned,assignError
no-candidate,Man From Delmonte,My Love Is Like A Gift You Can't Return,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Man From Delmonte - My Love Is Like A Gift You Can't Return.mp4,,,,0,0,0,,no,
no-candidate,Freddie Mercury & Brian May,Is This The World We Created?,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Freddie Mercury & Brian May - Is This The World We Created_.mp4,,,,0,0,0,,no,
no-candidate,Madonna,"Medley (Dress You Up, Material Girl, Like A Virgin)","/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Madonna - Medley (Dress You Up, Material Girl, Like A Virgin).MP4",,,,0,0,0,,no,
no-candidate,Judas Priest,Living After Midnight,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/00.39.24.000-Judas Priest - Living After Midnight (Philadelphia).mp4,,,,0,0,0,,no,
no-candidate,,,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/00.45.20.000-Hall & Oates / Eddie Kendricks / David Ruffin - Get Ready (Cos Here I Come) MEDLEY (Philadelphia).mp4,,,,0,0,0,,no,
